id,signature,abi,type,namespace,name,created_at
0xe85dd383,"prepareSpecificFeeTiersWithTimePeriod(address,address,uint24[],uint32)","{""name"":""prepareSpecificFeeTiersWithTimePeriod"",""type"":""function"",""inputs"":[{""name"":""_tokenA"",""type"":""address"",""internalType"":""address""},{""name"":""_tokenB"",""type"":""address"",""internalType"":""address""},{""name"":""_feeTiers"",""type"":""uint24[]"",""internalType"":""uint24[]""},{""name"":""_period"",""type"":""uint32"",""internalType"":""uint32""}],""outputs"":[{""name"":""_preparedPools"",""type"":""address[]"",""internalType"":""address[]""}],""stateMutability"":""nonpayable""}",function_call,uniswap_v3,StaticOracle,2023-08-22 07:48:00.122 UTC
0xd8045eca,"quoteSpecificFeeTiersWithTimePeriod(uint128,address,address,uint24[],uint32)","{""name"":""quoteSpecificFeeTiersWithTimePeriod"",""type"":""function"",""inputs"":[{""name"":""_baseAmount"",""type"":""uint128"",""internalType"":""uint128""},{""name"":""_baseToken"",""type"":""address"",""internalType"":""address""},{""name"":""_quoteToken"",""type"":""address"",""internalType"":""address""},{""name"":""_feeTiers"",""type"":""uint24[]"",""internalType"":""uint24[]""},{""name"":""_period"",""type"":""uint32"",""internalType"":""uint32""}],""outputs"":[{""name"":""_quoteAmount"",""type"":""uint256"",""internalType"":""uint256""},{""name"":""_queriedPools"",""type"":""address[]"",""internalType"":""address[]""}],""stateMutability"":""view""}",function_call,uniswap_v3,StaticOracle,2023-08-22 07:48:00.122 UTC
0xdf2ab5bb,"sweepToken(address,uint256,address)","{""inputs"":[{""internalType"":""address"",""name"":""token"",""type"":""address""},{""internalType"":""uint256"",""name"":""amountMinimum"",""type"":""uint256""},{""internalType"":""address"",""name"":""recipient"",""type"":""address""}],""name"":""sweepToken"",""outputs"":[],""stateMutability"":""payable"",""type"":""function""}",function_call,uniswap_v3,NonfungibleTokenPositionManager,2023-07-21 11:23:51.850 UTC
0xc2e3140a,"selfPermitIfNecessary(address,uint256,uint256,uint8,bytes32,bytes32)","{""inputs"":[{""internalType"":""address"",""name"":""token"",""type"":""address""},{""internalType"":""uint256"",""name"":""value"",""type"":""uint256""},{""internalType"":""uint256"",""name"":""deadline"",""type"":""uint256""},{""internalType"":""uint8"",""name"":""v"",""type"":""uint8""},{""internalType"":""bytes32"",""name"":""r"",""type"":""bytes32""},{""internalType"":""bytes32"",""name"":""s"",""type"":""bytes32""}],""name"":""selfPermitIfNecessary"",""outputs"":[],""stateMutability"":""payable"",""type"":""function""}",function_call,uniswap_v3,V3Migrator,2023-07-21 11:23:51.850 UTC
0x3f4ba83a,unpause(),"{""name"":""unpause"",""type"":""function"",""inputs"":[],""outputs"":[],""stateMutability"":""nonpayable""}",function_call,circle,TokenMinter,2023-07-21 11:23:51.850 UTC
0x248a9ca3,getRoleAdmin(bytes32),"{""name"":""getRoleAdmin"",""type"":""function"",""inputs"":[{""name"":""role"",""type"":""bytes32"",""internalType"":""bytes32""}],""outputs"":[{""name"":"""",""type"":""bytes32"",""internalType"":""bytes32""}],""stateMutability"":""view""}",function_call,zeroex,ZeroExTimelock,2023-07-21 11:23:51.850 UTC
0x3932abb1,votingDelay(),"{""name"":""votingDelay"",""type"":""function"",""inputs"":[],""outputs"":[{""name"":"""",""type"":""uint256"",""internalType"":""uint256""}],""stateMutability"":""view""}",function_call,zeroex,ZeroExTreasuryGovernor,2023-07-21 11:23:51.850 UTC
0x8da5cb5b,owner(),"{""name"":""owner"",""type"":""function"",""inputs"":[],""outputs"":[{""name"":"""",""type"":""address"",""internalType"":""address""}],""stateMutability"":""view""}",function_call,zeroex,ZeroExVotes,2023-07-21 11:23:51.850 UTC
0x7f4fe3ff8ae440e1570c558da08440b26f89fb1c1f2910cd91ca6452955f121a,"MetaTransactionExecuted(bytes32,bytes4,address,address)","{""name"":""MetaTransactionExecuted"",""type"":""event"",""inputs"":[{""name"":""hash"",""type"":""bytes32"",""indexed"":false,""internalType"":""bytes32""},{""name"":""selector"",""type"":""bytes4"",""indexed"":true,""internalType"":""bytes4""},{""name"":""signer"",""type"":""address"",""indexed"":false,""internalType"":""address""},{""name"":""sender"",""type"":""address"",""indexed"":false,""internalType"":""address""}],""anonymous"":false}",event,zeroex,ExchangeProxy,2023-07-21 11:23:51.850 UTC
0x33e13ecb54c3076d8e8bb8c2881800a4d972b792045ffae98fdf46df365fed75,Execution(uint256),"{""name"":""Execution"",""type"":""event"",""inputs"":[{""name"":""transactionId"",""type"":""uint256"",""indexed"":true}],""anonymous"":false}",event,zeroex,AssetProxyOwner,2023-07-21 11:23:51.850 UTC
