country,city,population
United States,New York,8175133
United Kingdom,London,7825300
United States,Los Angeles,3792621
United States,Chicago,2695598
France,Paris,2181000
United Kingdom,Birmingham,1016800
France,Marseille,808000
United Kingdom,Leeds,770800
France,Lyon,422000
