id,signature,abi,type,namespace,name,created_at
0x3b1d21a2,getCash(),"{""constant"":true,""inputs"":[],""name"":""getCash"",""outputs"":[{""internalType"":""uint256"",""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x1be19560,sweepToken(address),"{""constant"":false,""inputs"":[{""internalType"":""contract EIP20NonStandardInterface"",""name"":""token"",""type"":""address""}],""name"":""sweepToken"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x26782247,pendingAdmin(),"{""name"":""pendingAdmin"",""type"":""function"",""inputs"":[],""outputs"":[{""name"":"""",""type"":""address"",""internalType"":""address""}],""payable"":false,""constant"":true,""stateMutability"":""view""}",function_call,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
0x8a6db9c3,minterAllowance(address),"{""name"":""minterAllowance"",""type"":""function"",""inputs"":[{""name"":""minter"",""type"":""address"",""internalType"":""address""}],""outputs"":[{""name"":"""",""type"":""uint256"",""internalType"":""uint256""}],""stateMutability"":""view""}",function_call,usdc_mk_v1,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0xfca7820b,_setReserveFactor(uint256),"{""constant"":false,""inputs"":[{""internalType"":""uint256"",""name"":""newReserveFactorMantissa"",""type"":""uint256""}],""name"":""_setReserveFactor"",""outputs"":[{""internalType"":""uint256"",""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x23b872dd,"transferFrom(address,address,uint256)","{""constant"":false,""inputs"":[{""internalType"":""address"",""name"":""src"",""type"":""address""},{""internalType"":""address"",""name"":""dst"",""type"":""address""},{""internalType"":""uint256"",""name"":""amount"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""internalType"":""bool"",""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0xe6653f3d,_borrowGuardianPaused(),"{""name"":""_borrowGuardianPaused"",""type"":""function"",""inputs"":[],""outputs"":[{""name"":"""",""type"":""bool"",""internalType"":""bool""}],""payable"":false,""constant"":true,""stateMutability"":""view""}",function_call,compound_v2,Unitroller,2023-07-21 11:23:51.850 UTC
0xc0bb72b7,ownerSetMarginRatio((uint256)),"{""constant"":false,""inputs"":[{""components"":[{""name"":""value"",""type"":""uint256""}],""name"":""ratio"",""type"":""tuple""}],""name"":""ownerSetMarginRatio"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,dydx,SoloMargin,2023-07-21 11:23:51.850 UTC
0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925,"Approval(address,address,uint256)","{""name"":""Approval"",""type"":""event"",""inputs"":[{""name"":""owner"",""type"":""address"",""indexed"":true,""internalType"":""address""},{""name"":""spender"",""type"":""address"",""indexed"":true,""internalType"":""address""},{""name"":""value"",""type"":""uint256"",""indexed"":false,""internalType"":""uint256""}],""anonymous"":false}",event,usdc_mk_v1,FiatTokenV2_1,2023-07-21 11:23:51.850 UTC
0xb2a02ff1,"seize(address,address,uint256)","{""constant"":false,""inputs"":[{""internalType"":""address"",""name"":""liquidator"",""type"":""address""},{""internalType"":""address"",""name"":""borrower"",""type"":""address""},{""internalType"":""uint256"",""name"":""seizeTokens"",""type"":""uint256""}],""name"":""seize"",""outputs"":[{""internalType"":""uint256"",""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x3e941010,_addReserves(uint256),"{""constant"":false,""inputs"":[{""internalType"":""uint256"",""name"":""addAmount"",""type"":""uint256""}],""name"":""_addReserves"",""outputs"":[{""internalType"":""uint256"",""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}",function_call,compound_v2,CErc20Delegator,2023-07-21 11:23:51.850 UTC
0x875352fb3fadeb8c0be7cbbe8ff761b308fa7033470cd0287f02f3436fd76cb9,"AccrueInterest(uint256,uint256,uint256)","{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""interestAccumulated"",""type"":""uint256""},{""indexed"":false,""name"":""borrowIndex"",""type"":""uint256""},{""indexed"":false,""name"":""totalBorrows"",""type"":""uint256""}],""name"":""AccrueInterest"",""type"":""event""}",event,compound_v2,cErc20,2023-07-21 11:23:51.850 UTC
